,compare,snr,task,data type
181,mriqc,4.872040467458904,mriqc,snr
182,mriqc,4.979939958640189,mriqc,snr
183,mriqc,5.056924446155364,mriqc,snr
184,mriqc,4.798289792517189,mriqc,snr
185,mriqc,4.427297171752623,mriqc,snr
186,mriqc,4.879531372436733,mriqc,snr
187,mriqc,4.771740939700713,mriqc,snr
188,mriqc,4.810672187030221,mriqc,snr
189,mriqc,4.563866684968025,mriqc,snr
190,mriqc,5.229292240323716,mriqc,snr
191,mriqc,4.50579350634448,mriqc,snr
192,mriqc,4.7700910552214815,mriqc,snr
193,mriqc,4.736556898644581,mriqc,snr
194,mriqc,4.938280014952924,mriqc,snr
195,mriqc,4.745538087546768,mriqc,snr
196,mriqc,4.946051527515739,mriqc,snr
197,mriqc,4.744806513979312,mriqc,snr
198,mriqc,4.521260743313454,mriqc,snr
199,mriqc,5.06468897691928,mriqc,snr
200,mriqc,5.055828753529086,mriqc,snr
201,mriqc,5.070429560634014,mriqc,snr
202,mriqc,4.72461479969267,mriqc,snr
203,mriqc,4.911987293636642,mriqc,snr
204,mriqc,4.77444128814032,mriqc,snr
205,mriqc,4.640763192417047,mriqc,snr
206,mriqc,5.344351464409352,mriqc,snr
207,mriqc,4.661877116535173,mriqc,snr
208,mriqc,4.31937039831089,mriqc,snr
209,mriqc,4.562487885256665,mriqc,snr
210,mriqc,4.899282544241567,mriqc,snr
211,mriqc,4.623002485197423,mriqc,snr
212,mriqc,4.7506404154412945,mriqc,snr
213,mriqc,4.040069335397933,mriqc,snr
214,mriqc,4.675970444740399,mriqc,snr
215,mriqc,4.756336388320371,mriqc,snr
216,mriqc,5.018306809741962,mriqc,snr
217,mriqc,4.654267796870085,mriqc,snr
218,mriqc,5.435463384796045,mriqc,snr
219,mriqc,5.041705136667971,mriqc,snr
220,mriqc,4.890288321601171,mriqc,snr
221,mriqc,4.385563228875294,mriqc,snr
222,mriqc,4.55938503454383,mriqc,snr
223,mriqc,4.9762016311595305,mriqc,snr
