,group,variable,value
191,NTHC,snr,4.2679704513175105
192,NTHC,snr,4.568443422218855
193,NTHC,snr,4.900753715356392
194,NTHC,snr,3.905213292167517
195,NTHC,snr,3.937463009034127
196,NTHC,snr,5.005018022550945
197,NTHC,snr,5.663213867291315
198,NTHC,snr,4.339155792053941
199,NTHC,snr,3.7509022264325913
200,NTHC,snr,4.3226187554112165
201,NTHC,snr,4.136124756945789
202,NTHC,snr,3.949214808126382
203,NTHC,snr,4.001845427484741
204,NTHC,snr,4.033583597699446
205,NTHC,snr,3.972717000082535
206,NTHC,snr,4.204647255944357
207,NTHC,snr,4.007349972102803
208,NTHC,snr,4.800167503470812
209,NTHC,snr,3.886799623240651
210,NTHC,snr,4.169323674554383
211,NTHC,snr,4.09402248292231
212,NTHC,snr,3.823884049622402
213,NTHC,snr,3.916645485179977
214,NTHC,snr,4.080160288292912
215,NTHC,snr,3.7949007975032263
216,NTHC,snr,4.055739430005145
217,NTHC,snr,3.8974095555838297
218,NTHC,snr,4.060210233196902
219,NTHC,snr,4.3704149035367
220,NTHC,snr,4.351864670092495
221,NTHC,snr,4.375770721350358
222,NTHC,snr,4.040544934421463
223,NTHC,snr,3.633518721756255
224,NTHC,snr,3.659342104965857
225,NTHC,snr,3.941455852192067
226,NTHC,snr,4.211630761064442
227,NTHC,snr,3.8098821775074976
228,NTHC,snr,4.085871590314246
229,NTHC,snr,4.1110470911083645
230,NTHC,snr,5.5063242031204505
231,NTHC,snr,3.9162104511097833
232,NTHC,snr,3.8415870038413593
233,NTHC,snr,3.983205040508464
234,NTHC,snr,4.935120500561283
235,NTHC,snr,4.794943841294328
236,NTHC,snr,4.69500938750333
237,NTHC,snr,4.296730591385572
238,NTHC,snr,5.015091131570867
239,NTHC,snr,4.203208745650978
240,NTHC,snr,4.709035225737811
241,NTHC,snr,5.411795248352233
242,NTHC,snr,4.419624712511551
243,NTHC,snr,5.087130753723688
244,NTHC,snr,4.328966395013236
245,NTHC,snr,4.181489971659674
246,NTHC,snr,4.244785900664564
247,NTHC,snr,3.9243908002941663
248,NTHC,snr,4.077535174990799
249,NTHC,snr,3.992985371398971
250,NTHC,snr,3.9010120999496
251,NTHC,snr,4.15902952695139
252,NTHC,snr,5.651622144477053
253,NTHC,snr,4.056648468350942
254,NTHC,snr,4.068314813672732
255,NTHC,snr,4.327403910919871
256,NTHC,snr,4.502970970323698
257,NTHC,snr,4.303523682813135
258,NTHC,snr,4.392658917857976
259,NTHC,snr,4.047883445206231
260,NTHC,snr,4.228976580310217
261,NTHC,snr,4.114580100140356
