,compare,tsnr,task,data type
187,mriqc,62.13124084472656,mriqc,tsnr
188,mriqc,51.85321807861328,mriqc,tsnr
189,mriqc,46.723331451416016,mriqc,tsnr
190,mriqc,58.05847930908203,mriqc,tsnr
191,mriqc,49.509185791015625,mriqc,tsnr
192,mriqc,54.50650787353515,mriqc,tsnr
193,mriqc,44.95869064331055,mriqc,tsnr
194,mriqc,42.08722686767578,mriqc,tsnr
195,mriqc,46.617034912109375,mriqc,tsnr
196,mriqc,42.155723571777344,mriqc,tsnr
197,mriqc,52.46361541748047,mriqc,tsnr
198,mriqc,43.8167839050293,mriqc,tsnr
199,mriqc,57.74920654296875,mriqc,tsnr
200,mriqc,67.01744079589844,mriqc,tsnr
201,mriqc,64.01837921142578,mriqc,tsnr
202,mriqc,62.0560302734375,mriqc,tsnr
203,mriqc,36.62360382080078,mriqc,tsnr
204,mriqc,35.570335388183594,mriqc,tsnr
205,mriqc,34.62427520751953,mriqc,tsnr
206,mriqc,59.66632080078125,mriqc,tsnr
207,mriqc,37.5396842956543,mriqc,tsnr
208,mriqc,47.04096984863281,mriqc,tsnr
209,mriqc,30.48943519592285,mriqc,tsnr
210,mriqc,58.508155822753906,mriqc,tsnr
211,mriqc,38.15662384033203,mriqc,tsnr
212,mriqc,54.427459716796875,mriqc,tsnr
213,mriqc,57.897796630859375,mriqc,tsnr
214,mriqc,45.32197189331055,mriqc,tsnr
215,mriqc,58.70918273925781,mriqc,tsnr
216,mriqc,38.13594055175781,mriqc,tsnr
217,mriqc,37.528446197509766,mriqc,tsnr
218,mriqc,37.24016571044922,mriqc,tsnr
219,mriqc,50.98991775512695,mriqc,tsnr
220,mriqc,31.924875259399418,mriqc,tsnr
221,mriqc,31.59632110595703,mriqc,tsnr
222,mriqc,52.70185470581055,mriqc,tsnr
223,mriqc,50.77620697021485,mriqc,tsnr
224,mriqc,56.874168395996094,mriqc,tsnr
225,mriqc,56.88371658325195,mriqc,tsnr
226,mriqc,49.55182647705078,mriqc,tsnr
227,mriqc,37.026241302490234,mriqc,tsnr
228,mriqc,61.010292053222656,mriqc,tsnr
229,mriqc,65.01032257080078,mriqc,tsnr
230,mriqc,55.35808944702149,mriqc,tsnr
231,mriqc,39.29090118408203,mriqc,tsnr
232,mriqc,55.667327880859375,mriqc,tsnr
233,mriqc,50.96226119995117,mriqc,tsnr
234,mriqc,35.609535217285156,mriqc,tsnr
235,mriqc,59.59247589111328,mriqc,tsnr
236,mriqc,55.24244689941406,mriqc,tsnr
237,mriqc,48.47622299194336,mriqc,tsnr
238,mriqc,39.041221618652344,mriqc,tsnr
239,mriqc,51.42548370361328,mriqc,tsnr
240,mriqc,52.79299545288086,mriqc,tsnr
241,mriqc,34.44126892089844,mriqc,tsnr
242,mriqc,36.14684295654297,mriqc,tsnr
243,mriqc,55.64070892333984,mriqc,tsnr
244,mriqc,62.088748931884766,mriqc,tsnr
245,mriqc,46.824974060058594,mriqc,tsnr
246,mriqc,60.68939208984375,mriqc,tsnr
247,mriqc,46.46177673339844,mriqc,tsnr
248,mriqc,53.71927261352539,mriqc,tsnr
249,mriqc,48.93244934082031,mriqc,tsnr
250,mriqc,42.342777252197266,mriqc,tsnr
251,mriqc,36.866153717041016,mriqc,tsnr
252,mriqc,35.43959045410156,mriqc,tsnr
253,mriqc,53.300445556640625,mriqc,tsnr
254,mriqc,68.61509704589844,mriqc,tsnr
255,mriqc,65.88280487060547,mriqc,tsnr
256,mriqc,42.03843688964844,mriqc,tsnr
257,mriqc,47.59345245361328,mriqc,tsnr
258,mriqc,58.03934860229492,mriqc,tsnr
259,mriqc,40.46513748168945,mriqc,tsnr
260,mriqc,58.491886138916016,mriqc,tsnr
261,mriqc,36.25926971435547,mriqc,tsnr
262,mriqc,39.18822479248047,mriqc,tsnr
263,mriqc,55.430721282958984,mriqc,tsnr
264,mriqc,51.408443450927734,mriqc,tsnr
265,mriqc,43.02482604980469,mriqc,tsnr
266,mriqc,39.09587097167969,mriqc,tsnr
267,mriqc,37.52093124389648,mriqc,tsnr
268,mriqc,30.538116455078125,mriqc,tsnr
269,mriqc,31.181467056274418,mriqc,tsnr
270,mriqc,59.55546569824219,mriqc,tsnr
271,mriqc,47.998291015625,mriqc,tsnr
272,mriqc,35.04450988769531,mriqc,tsnr
273,mriqc,51.61954879760742,mriqc,tsnr
274,mriqc,66.7403335571289,mriqc,tsnr
275,mriqc,35.76840591430664,mriqc,tsnr
276,mriqc,67.48338317871094,mriqc,tsnr
277,mriqc,57.494388580322266,mriqc,tsnr
278,mriqc,68.19434356689453,mriqc,tsnr
279,mriqc,43.43544006347656,mriqc,tsnr
280,mriqc,47.503074645996094,mriqc,tsnr
281,mriqc,61.055850982666016,mriqc,tsnr
282,mriqc,52.193599700927734,mriqc,tsnr
283,mriqc,35.69473648071289,mriqc,tsnr
284,mriqc,40.18342590332031,mriqc,tsnr
285,mriqc,71.70822143554688,mriqc,tsnr
286,mriqc,33.0673713684082,mriqc,tsnr
287,mriqc,56.181339263916016,mriqc,tsnr
288,mriqc,33.87262725830078,mriqc,tsnr
289,mriqc,64.80254364013672,mriqc,tsnr
290,mriqc,72.91455078125,mriqc,tsnr
291,mriqc,55.11119079589844,mriqc,tsnr
292,mriqc,47.506874084472656,mriqc,tsnr
293,mriqc,39.29232025146485,mriqc,tsnr
294,mriqc,45.349571228027344,mriqc,tsnr
295,mriqc,36.567161560058594,mriqc,tsnr
296,mriqc,29.52689743041992,mriqc,tsnr
297,mriqc,44.158111572265625,mriqc,tsnr
298,mriqc,39.740509033203125,mriqc,tsnr
299,mriqc,67.901611328125,mriqc,tsnr
