,group,variable,value
63,NTHC,tsnr,58.552605248987675
64,NTHC,tsnr,64.64541765872855
65,NTHC,tsnr,67.81192058324814
66,NTHC,tsnr,68.84942858177237
67,NTHC,tsnr,54.32695923000574
68,NTHC,tsnr,66.53359494963661
69,NTHC,tsnr,60.82361638639122
70,NTHC,tsnr,60.97523681423627
71,NTHC,tsnr,59.53407519124448
72,NTHC,tsnr,45.41796855488792
73,NTHC,tsnr,36.28081028233282
74,NTHC,tsnr,51.0523036820814
75,NTHC,tsnr,62.54277232172899
76,NTHC,tsnr,20.24915448948741
77,NTHC,tsnr,60.31162330042571
78,NTHC,tsnr,42.50310693611391
79,NTHC,tsnr,13.972235924797133
80,NTHC,tsnr,42.66835576388985
81,NTHC,tsnr,40.268653317703865
82,NTHC,tsnr,48.74231129675172
83,NTHC,tsnr,38.989056329708546
84,NTHC,tsnr,46.67153287207475
85,NTHC,tsnr,47.542792937369086
86,NTHC,tsnr,50.03696690686047
87,NTHC,tsnr,60.527714455500245
88,NTHC,tsnr,77.48667969671078
89,NTHC,tsnr,53.79418125748634
90,NTHC,tsnr,64.02126948372461
91,NTHC,tsnr,58.0733702480793
92,NTHC,tsnr,61.9723033948103
93,NTHC,tsnr,62.18675179244019
94,NTHC,tsnr,68.16200857143849
95,NTHC,tsnr,67.6300193676725
96,NTHC,tsnr,75.35145828872919
97,NTHC,tsnr,54.52777012810111
98,NTHC,tsnr,52.441293919458985
99,NTHC,tsnr,61.5285593396984
100,NTHC,tsnr,65.05977317458019
101,NTHC,tsnr,45.77094801957719
102,NTHC,tsnr,58.29928271565586
103,NTHC,tsnr,69.68321229843423
104,NTHC,tsnr,63.18384924856946
105,NTHC,tsnr,58.59610929968767
106,NTHC,tsnr,50.43569586076774
107,NTHC,tsnr,54.2307283161208
108,NTHC,tsnr,49.644263591151685
109,NTHC,tsnr,44.0936587699689
110,NTHC,tsnr,55.73094720672816
111,NTHC,tsnr,54.2033231445821
112,NTHC,tsnr,66.58309191372246
113,NTHC,tsnr,35.520279803313315
114,NTHC,tsnr,40.27873010188341
115,NTHC,tsnr,45.92532645910978
116,NTHC,tsnr,45.49016030901112
117,NTHC,tsnr,43.48670002736617
118,NTHC,tsnr,34.60197648894973
119,NTHC,tsnr,48.88008167990483
120,NTHC,tsnr,19.215572848916057
121,NTHC,tsnr,52.77615228143986
122,NTHC,tsnr,46.00155612267554
123,NTHC,tsnr,36.89248361217324
124,NTHC,tsnr,60.90279633458704
125,NTHC,tsnr,48.5555312987417
126,NTHC,tsnr,52.24457097775303
127,NTHC,tsnr,56.09608224499971
128,NTHC,tsnr,63.34348416002467
129,NTHC,tsnr,46.8909744292032
130,NTHC,tsnr,67.24665730306879
131,NTHC,tsnr,72.91999169695191
132,NTHC,tsnr,63.662840500473976
133,NTHC,tsnr,60.99056412989739
134,NTHC,tsnr,55.692825991194695
135,NTHC,tsnr,64.21768403926399
136,NTHC,tsnr,50.53024997701869
137,NTHC,tsnr,62.00402439944446
138,NTHC,tsnr,72.41703507560305
139,NTHC,tsnr,59.010261211544275
140,NTHC,tsnr,51.39861906692386
141,NTHC,tsnr,60.93050268571824
142,NTHC,tsnr,57.470808917307295
143,NTHC,tsnr,43.75508919684216
144,NTHC,tsnr,59.468549460871145
145,NTHC,tsnr,74.7896779224975
146,NTHC,tsnr,41.497576700756326
147,NTHC,tsnr,45.43020596075803
148,NTHC,tsnr,41.70685604400933
149,NTHC,tsnr,43.29959025525022
150,NTHC,tsnr,60.29185307747685
151,NTHC,tsnr,41.07895303540863
152,NTHC,tsnr,38.825500508304685
153,NTHC,tsnr,52.67667556647211
