,compare,aqi,task,data type
229,mriqc,0.0077848224180327,mriqc,aqi
230,mriqc,0.0076501303809523,mriqc,aqi
231,mriqc,0.0144132661904761,mriqc,aqi
232,mriqc,0.0073244255327868,mriqc,aqi
233,mriqc,0.0093372176229508,mriqc,aqi
234,mriqc,0.0182051191393442,mriqc,aqi
235,mriqc,0.0061521313934426,mriqc,aqi
236,mriqc,0.0087879123360655,mriqc,aqi
237,mriqc,0.0088854070564516,mriqc,aqi
238,mriqc,0.0221462836885245,mriqc,aqi
239,mriqc,0.0088097661428571,mriqc,aqi
240,mriqc,0.0080174396190476,mriqc,aqi
241,mriqc,0.0211363716803278,mriqc,aqi
242,mriqc,0.0203247209523809,mriqc,aqi
243,mriqc,0.0090526224180327,mriqc,aqi
244,mriqc,0.0071956298360655,mriqc,aqi
245,mriqc,0.0121361823809523,mriqc,aqi
246,mriqc,0.005232454095238,mriqc,aqi
247,mriqc,0.0103986733333333,mriqc,aqi
248,mriqc,0.0074484213333333,mriqc,aqi
249,mriqc,0.0106648632786885,mriqc,aqi
250,mriqc,0.0144061391428571,mriqc,aqi
251,mriqc,0.0173589643809523,mriqc,aqi
252,mriqc,0.0204258395901639,mriqc,aqi
253,mriqc,0.0072923071428571,mriqc,aqi
254,mriqc,0.0056025356296296,mriqc,aqi
255,mriqc,0.0060472307377049,mriqc,aqi
256,mriqc,0.0135131189999999,mriqc,aqi
257,mriqc,0.0101188299047619,mriqc,aqi
258,mriqc,0.0069979694814814,mriqc,aqi
259,mriqc,0.017665556352459,mriqc,aqi
260,mriqc,0.0087067937704918,mriqc,aqi
261,mriqc,0.0206393002459016,mriqc,aqi
262,mriqc,0.0155933493333333,mriqc,aqi
263,mriqc,0.0079125139629629,mriqc,aqi
264,mriqc,0.0093827995185185,mriqc,aqi
265,mriqc,0.012102966352459,mriqc,aqi
266,mriqc,0.017161967704918,mriqc,aqi
267,mriqc,0.0165350811475409,mriqc,aqi
268,mriqc,0.0299874487704918,mriqc,aqi
269,mriqc,0.0230482895833333,mriqc,aqi
270,mriqc,0.0070095685925925,mriqc,aqi
271,mriqc,0.0126250039259259,mriqc,aqi
272,mriqc,0.0216466209016393,mriqc,aqi
273,mriqc,0.0110906675819672,mriqc,aqi
274,mriqc,0.0060950274074074,mriqc,aqi
275,mriqc,0.0189343715416666,mriqc,aqi
276,mriqc,0.0055900784074074,mriqc,aqi
277,mriqc,0.0082477137037037,mriqc,aqi
278,mriqc,0.0049833418148148,mriqc,aqi
279,mriqc,0.0147021059259259,mriqc,aqi
280,mriqc,0.0137871176296296,mriqc,aqi
281,mriqc,0.0065391374814814,mriqc,aqi
282,mriqc,0.0103010994444444,mriqc,aqi
283,mriqc,0.0174745226666666,mriqc,aqi
284,mriqc,0.016714957125,mriqc,aqi
285,mriqc,0.0047817944444444,mriqc,aqi
286,mriqc,0.0258940996666666,mriqc,aqi
287,mriqc,0.0078934436296296,mriqc,aqi
288,mriqc,0.0202972242916666,mriqc,aqi
289,mriqc,0.0058911429259259,mriqc,aqi
290,mriqc,0.0050082719629629,mriqc,aqi
291,mriqc,0.0097258973703703,mriqc,aqi
292,mriqc,0.009094241375,mriqc,aqi
293,mriqc,0.018592323,mriqc,aqi
294,mriqc,0.0119125104583333,mriqc,aqi
295,mriqc,0.0173123880833333,mriqc,aqi
296,mriqc,0.0248561085416666,mriqc,aqi
297,mriqc,0.0118318835833333,mriqc,aqi
298,mriqc,0.0145657924166666,mriqc,aqi
299,mriqc,0.005916990037037,mriqc,aqi
300,mriqc,0.0062441438888888,mriqc,aqi
301,mriqc,0.0119585552962962,mriqc,aqi
302,mriqc,0.0104776545185185,mriqc,aqi
303,mriqc,0.01703493725,mriqc,aqi
304,mriqc,0.0078166023333333,mriqc,aqi
305,mriqc,0.0095655745185185,mriqc,aqi
306,mriqc,0.0068857983703703,mriqc,aqi
307,mriqc,0.0112087188888888,mriqc,aqi
308,mriqc,0.0102711611111111,mriqc,aqi
309,mriqc,0.0180642718333333,mriqc,aqi
310,mriqc,0.0065750332380952,mriqc,aqi
311,mriqc,0.0081475347037037,mriqc,aqi
312,mriqc,0.0073533328518518,mriqc,aqi
313,mriqc,0.0095414691851851,mriqc,aqi
314,mriqc,0.0196352047916666,mriqc,aqi
315,mriqc,0.0151498076666666,mriqc,aqi
316,mriqc,0.0121043785,mriqc,aqi
317,mriqc,0.013904282125,mriqc,aqi
318,mriqc,0.005772805037037,mriqc,aqi
319,mriqc,0.0110563429259259,mriqc,aqi
320,mriqc,0.02737938,mriqc,aqi
321,mriqc,0.0079405154444444,mriqc,aqi
322,mriqc,0.0103125101481481,mriqc,aqi
323,mriqc,0.0097841329999999,mriqc,aqi
324,mriqc,0.0063785469516728,mriqc,aqi
325,mriqc,0.0067007666296296,mriqc,aqi
326,mriqc,0.0113289478888888,mriqc,aqi
327,mriqc,0.0115796438148148,mriqc,aqi
328,mriqc,0.0051668877407407,mriqc,aqi
329,mriqc,0.0140011974814814,mriqc,aqi
330,mriqc,0.0089324592962962,mriqc,aqi
331,mriqc,0.0072426888148148,mriqc,aqi
332,mriqc,0.0115958413333333,mriqc,aqi
333,mriqc,0.0048128369629629,mriqc,aqi
334,mriqc,0.0055344153333333,mriqc,aqi
335,mriqc,0.0064899489523809,mriqc,aqi
336,mriqc,0.0097557347407407,mriqc,aqi
337,mriqc,0.0059437952916666,mriqc,aqi
338,mriqc,0.0048875902916666,mriqc,aqi
339,mriqc,0.0094744689523809,mriqc,aqi
340,mriqc,0.0054357937916666,mriqc,aqi
341,mriqc,0.0061458653333333,mriqc,aqi
342,mriqc,0.0069672367619047,mriqc,aqi
343,mriqc,0.0048724385416666,mriqc,aqi
344,mriqc,0.0045535327083333,mriqc,aqi
345,mriqc,0.0065155674814814,mriqc,aqi
346,mriqc,0.0055275513333333,mriqc,aqi
347,mriqc,0.0052467194074074,mriqc,aqi
348,mriqc,0.0067231244392523,mriqc,aqi
349,mriqc,0.0119655512962962,mriqc,aqi
350,mriqc,0.0044696544814814,mriqc,aqi
351,mriqc,0.0062209116822429,mriqc,aqi
352,mriqc,0.0048587125185185,mriqc,aqi
353,mriqc,0.0049895461481481,mriqc,aqi
354,mriqc,0.0074241156542056,mriqc,aqi
355,mriqc,0.0107913610245901,mriqc,aqi
356,mriqc,0.010293478317757,mriqc,aqi
357,mriqc,0.0194196316822429,mriqc,aqi
358,mriqc,0.0202024663551401,mriqc,aqi
359,mriqc,0.0170158520093457,mriqc,aqi
360,mriqc,0.0091437632377049,mriqc,aqi
361,mriqc,0.010440681352459,mriqc,aqi
362,mriqc,0.0064499459016393,mriqc,aqi
363,mriqc,0.0150191137295081,mriqc,aqi
364,mriqc,0.0096973907476635,mriqc,aqi
365,mriqc,0.0069949853271028,mriqc,aqi
366,mriqc,0.0075106529439252,mriqc,aqi
367,mriqc,0.0057686455607476,mriqc,aqi
368,mriqc,0.0127422355737704,mriqc,aqi
369,mriqc,0.0172518467289719,mriqc,aqi
370,mriqc,0.007980844057377,mriqc,aqi
371,mriqc,0.0083085118224299,mriqc,aqi
372,mriqc,0.0112074047663551,mriqc,aqi
373,mriqc,0.0089475272429906,mriqc,aqi
374,mriqc,0.0054306522950819,mriqc,aqi
375,mriqc,0.0176917914754098,mriqc,aqi
376,mriqc,0.0064535265983606,mriqc,aqi
377,mriqc,0.0106599653688524,mriqc,aqi
378,mriqc,0.005803947037037,mriqc,aqi
379,mriqc,0.0066524466666666,mriqc,aqi
380,mriqc,0.008436629074074,mriqc,aqi
381,mriqc,0.0130470146666666,mriqc,aqi
382,mriqc,0.0075636457142857,mriqc,aqi
383,mriqc,0.0137511045555555,mriqc,aqi
384,mriqc,0.0098011340163934,mriqc,aqi
385,mriqc,0.0146338526190476,mriqc,aqi
386,mriqc,0.013065695204918,mriqc,aqi
387,mriqc,0.0086927295714285,mriqc,aqi
388,mriqc,0.0112602686666666,mriqc,aqi
389,mriqc,0.0094744091803278,mriqc,aqi
390,mriqc,0.0169800341666666,mriqc,aqi
391,mriqc,0.0058134644392523,mriqc,aqi
392,mriqc,0.019271345,mriqc,aqi
393,mriqc,0.0061678804444444,mriqc,aqi
394,mriqc,0.0140682895833333,mriqc,aqi
395,mriqc,0.0054209504814814,mriqc,aqi
396,mriqc,0.0106081143333333,mriqc,aqi
397,mriqc,0.011242549875,mriqc,aqi
398,mriqc,0.0108381909999999,mriqc,aqi
399,mriqc,0.0065869485185185,mriqc,aqi
400,mriqc,0.00768736875,mriqc,aqi
401,mriqc,0.0068436136296296,mriqc,aqi
402,mriqc,0.0060010729629629,mriqc,aqi
403,mriqc,0.0053737603703703,mriqc,aqi
404,mriqc,0.0093096685925925,mriqc,aqi
405,mriqc,0.0091911401851851,mriqc,aqi
406,mriqc,0.0081135008411214,mriqc,aqi
407,mriqc,0.0057237424814814,mriqc,aqi
408,mriqc,0.0063976455185185,mriqc,aqi
409,mriqc,0.011502734037037,mriqc,aqi
410,mriqc,0.0083430406967213,mriqc,aqi
411,mriqc,0.0107708299590163,mriqc,aqi
412,mriqc,0.0077592835245901,mriqc,aqi
413,mriqc,0.0067023422222222,mriqc,aqi
414,mriqc,0.0087711839259259,mriqc,aqi
415,mriqc,0.0160494998333333,mriqc,aqi
416,mriqc,0.0090093404999999,mriqc,aqi
417,mriqc,0.0108056408888888,mriqc,aqi
418,mriqc,0.0109838192222222,mriqc,aqi
419,mriqc,0.0223203171729957,mriqc,aqi
420,mriqc,0.0163085424894514,mriqc,aqi
421,mriqc,0.0069411037349397,mriqc,aqi
422,mriqc,0.0074246934545454,mriqc,aqi
423,mriqc,0.0075841111,mriqc,aqi
424,mriqc,0.0109097257666666,mriqc,aqi
425,mriqc,0.0085397306333333,mriqc,aqi
426,mriqc,0.0095836857666666,mriqc,aqi
427,mriqc,0.0070468843,mriqc,aqi
428,mriqc,0.0114380720333333,mriqc,aqi
429,mriqc,0.0083745984,mriqc,aqi
430,mriqc,0.0102571930666666,mriqc,aqi
431,mriqc,0.0113472055,mriqc,aqi
432,mriqc,0.0251514446,mriqc,aqi
433,mriqc,0.0059696015999999,mriqc,aqi
434,mriqc,0.0125102486,mriqc,aqi
435,mriqc,0.0057042698,mriqc,aqi
436,mriqc,0.0354289263333333,mriqc,aqi
437,mriqc,0.0119820021666666,mriqc,aqi
438,mriqc,0.0106789790666666,mriqc,aqi
439,mriqc,0.0229387380333333,mriqc,aqi
440,mriqc,0.0067051364333333,mriqc,aqi
441,mriqc,0.0115599653666666,mriqc,aqi
442,mriqc,0.0137590654666666,mriqc,aqi
443,mriqc,0.0107836468666666,mriqc,aqi
444,mriqc,0.0125576492333333,mriqc,aqi
445,mriqc,0.011364323,mriqc,aqi
446,mriqc,0.0097168448666666,mriqc,aqi
447,mriqc,0.0081774986,mriqc,aqi
448,mriqc,0.0101038472333333,mriqc,aqi
449,mriqc,0.0074658775333333,mriqc,aqi
450,mriqc,0.0130771967,mriqc,aqi
451,mriqc,0.0066470638333333,mriqc,aqi
452,mriqc,0.0063805257,mriqc,aqi
453,mriqc,0.0075309685333333,mriqc,aqi
454,mriqc,0.0135357287666666,mriqc,aqi
455,mriqc,0.0058774286666666,mriqc,aqi
456,mriqc,0.0109225143666666,mriqc,aqi
457,mriqc,0.0109248778333333,mriqc,aqi
458,mriqc,0.0108123990999999,mriqc,aqi
459,mriqc,0.0083945273333333,mriqc,aqi
460,mriqc,0.0179297039,mriqc,aqi
461,mriqc,0.0129953504,mriqc,aqi
462,mriqc,0.018697445,mriqc,aqi
463,mriqc,0.0123391022,mriqc,aqi
464,mriqc,0.0088073876,mriqc,aqi
465,mriqc,0.0157668963666666,mriqc,aqi
466,mriqc,0.0133242966333333,mriqc,aqi
467,mriqc,0.0080097014444444,mriqc,aqi
468,mriqc,0.0067830351666666,mriqc,aqi
469,mriqc,0.0078666561111111,mriqc,aqi
470,mriqc,0.0074314604444444,mriqc,aqi
471,mriqc,0.0082658165555555,mriqc,aqi
472,mriqc,0.0077343208620689,mriqc,aqi
473,mriqc,0.0082942298333333,mriqc,aqi
474,mriqc,0.0104882897413793,mriqc,aqi
475,mriqc,0.0086661660344827,mriqc,aqi
476,mriqc,0.0064742079310344,mriqc,aqi
477,mriqc,0.0075665247844827,mriqc,aqi
478,mriqc,0.0091540344396551,mriqc,aqi
479,mriqc,0.0071061152777777,mriqc,aqi
480,mriqc,0.007027973,mriqc,aqi
481,mriqc,0.0083643086666666,mriqc,aqi
482,mriqc,0.0091100675555555,mriqc,aqi
483,mriqc,0.0082979381666666,mriqc,aqi
484,mriqc,0.0091498717222222,mriqc,aqi
485,mriqc,0.0077736794444444,mriqc,aqi
486,mriqc,0.0090093404999999,mriqc,aqi
487,mriqc,0.0114729984444444,mriqc,aqi
488,mriqc,0.0065026288333333,mriqc,aqi
489,mriqc,0.0099973598888888,mriqc,aqi
490,mriqc,0.0087591354444444,mriqc,aqi
491,mriqc,0.0078834329444444,mriqc,aqi
492,mriqc,0.0104532193248945,mriqc,aqi
493,mriqc,0.0096249072222222,mriqc,aqi
494,mriqc,0.0097049518888888,mriqc,aqi
495,mriqc,0.0092311437222222,mriqc,aqi
496,mriqc,0.009987245,mriqc,aqi
497,mriqc,0.0160494998333333,mriqc,aqi
498,mriqc,0.0101038472333333,mriqc,aqi
499,mriqc,0.0072639361538461,mriqc,aqi
500,mriqc,0.0098227989316239,mriqc,aqi
501,mriqc,0.011364323,mriqc,aqi
502,mriqc,0.0066470638333333,mriqc,aqi
503,mriqc,0.0163085424894514,mriqc,aqi
504,mriqc,0.0095631167241379,mriqc,aqi
505,mriqc,0.0059696015999999,mriqc,aqi
506,mriqc,0.0063805257,mriqc,aqi
507,mriqc,0.0092185193534482,mriqc,aqi
508,mriqc,0.0057042698,mriqc,aqi
509,mriqc,0.0075841111,mriqc,aqi
510,mriqc,0.0125576492333333,mriqc,aqi
511,mriqc,0.0125102486,mriqc,aqi
512,mriqc,0.0108123990999999,mriqc,aqi
513,mriqc,0.0070468843,mriqc,aqi
514,mriqc,0.0106789790666666,mriqc,aqi
515,mriqc,0.0109248778333333,mriqc,aqi
