,compare,fber,task,data type
232,mriqc,774.7659912109375,mriqc,fber
233,mriqc,776.397216796875,mriqc,fber
234,mriqc,801.465576171875,mriqc,fber
235,mriqc,787.4761962890625,mriqc,fber
236,mriqc,1021.8272705078124,mriqc,fber
237,mriqc,828.6295776367188,mriqc,fber
238,mriqc,1014.1646118164062,mriqc,fber
239,mriqc,1149.1522216796875,mriqc,fber
240,mriqc,1172.1214599609375,mriqc,fber
241,mriqc,749.5994262695312,mriqc,fber
242,mriqc,514.5734252929688,mriqc,fber
243,mriqc,1118.4215087890625,mriqc,fber
244,mriqc,1027.023193359375,mriqc,fber
245,mriqc,1125.32177734375,mriqc,fber
246,mriqc,1132.318115234375,mriqc,fber
247,mriqc,482.2018737792969,mriqc,fber
248,mriqc,483.8852844238281,mriqc,fber
249,mriqc,752.9336547851562,mriqc,fber
250,mriqc,1099.6131591796875,mriqc,fber
251,mriqc,1101.325439453125,mriqc,fber
252,mriqc,763.8597412109375,mriqc,fber
253,mriqc,521.5687255859375,mriqc,fber
254,mriqc,983.0928955078124,mriqc,fber
255,mriqc,1010.9141845703124,mriqc,fber
256,mriqc,1158.1527099609375,mriqc,fber
257,mriqc,502.8870544433594,mriqc,fber
258,mriqc,1150.6387939453125,mriqc,fber
259,mriqc,868.6334838867188,mriqc,fber
260,mriqc,1113.731689453125,mriqc,fber
261,mriqc,779.6692504882812,mriqc,fber
262,mriqc,1148.047119140625,mriqc,fber
263,mriqc,760.0286254882812,mriqc,fber
264,mriqc,745.45703125,mriqc,fber
265,mriqc,804.03125,mriqc,fber
266,mriqc,733.4444580078125,mriqc,fber
267,mriqc,797.6529541015625,mriqc,fber
268,mriqc,1084.0205078125,mriqc,fber
269,mriqc,1175.2733154296875,mriqc,fber
270,mriqc,739.9911499023438,mriqc,fber
271,mriqc,761.0643310546875,mriqc,fber
272,mriqc,1039.7601318359375,mriqc,fber
273,mriqc,1130.4837646484375,mriqc,fber
274,mriqc,1041.3526611328125,mriqc,fber
275,mriqc,1218.4560546875,mriqc,fber
276,mriqc,958.7000122070312,mriqc,fber
277,mriqc,1025.461181640625,mriqc,fber
278,mriqc,1138.2122802734375,mriqc,fber
279,mriqc,656.2478637695312,mriqc,fber
280,mriqc,1010.2203369140624,mriqc,fber
281,mriqc,679.904052734375,mriqc,fber
282,mriqc,739.429443359375,mriqc,fber
283,mriqc,1231.1285400390625,mriqc,fber
284,mriqc,1101.90869140625,mriqc,fber
285,mriqc,969.6515502929688,mriqc,fber
286,mriqc,972.7277221679688,mriqc,fber
287,mriqc,705.7974243164062,mriqc,fber
288,mriqc,1245.345458984375,mriqc,fber
289,mriqc,1132.76806640625,mriqc,fber
290,mriqc,1018.4168701171876,mriqc,fber
291,mriqc,750.1409301757812,mriqc,fber
292,mriqc,496.22161865234375,mriqc,fber
293,mriqc,484.114990234375,mriqc,fber
294,mriqc,1120.124755859375,mriqc,fber
295,mriqc,1119.2347412109375,mriqc,fber
296,mriqc,489.3151550292969,mriqc,fber
297,mriqc,1113.513427734375,mriqc,fber
298,mriqc,1150.8511962890625,mriqc,fber
299,mriqc,1037.0526123046875,mriqc,fber
300,mriqc,968.1658325195312,mriqc,fber
301,mriqc,981.5249633789062,mriqc,fber
302,mriqc,745.5855102539062,mriqc,fber
303,mriqc,1083.7381591796875,mriqc,fber
304,mriqc,1053.4505615234375,mriqc,fber
305,mriqc,751.8175048828125,mriqc,fber
306,mriqc,1063.49853515625,mriqc,fber
307,mriqc,794.3666381835938,mriqc,fber
308,mriqc,1086.2744140625,mriqc,fber
309,mriqc,500.6953125,mriqc,fber
310,mriqc,723.1484985351562,mriqc,fber
311,mriqc,970.6224365234376,mriqc,fber
312,mriqc,793.5159301757812,mriqc,fber
313,mriqc,784.1419067382812,mriqc,fber
314,mriqc,1104.3233642578125,mriqc,fber
315,mriqc,737.3138427734375,mriqc,fber
316,mriqc,496.1835632324219,mriqc,fber
317,mriqc,495.5971374511719,mriqc,fber
318,mriqc,1201.543212890625,mriqc,fber
319,mriqc,953.4315185546876,mriqc,fber
320,mriqc,497.9604187011719,mriqc,fber
321,mriqc,945.7496337890624,mriqc,fber
322,mriqc,506.54583740234375,mriqc,fber
323,mriqc,855.519775390625,mriqc,fber
324,mriqc,1201.330810546875,mriqc,fber
325,mriqc,932.1659545898438,mriqc,fber
326,mriqc,1199.2572021484375,mriqc,fber
327,mriqc,1173.294189453125,mriqc,fber
328,mriqc,880.5640869140625,mriqc,fber
329,mriqc,508.8528137207031,mriqc,fber
330,mriqc,1192.631103515625,mriqc,fber
331,mriqc,851.8331909179688,mriqc,fber
332,mriqc,871.5416870117188,mriqc,fber
333,mriqc,879.049560546875,mriqc,fber
334,mriqc,886.22802734375,mriqc,fber
335,mriqc,747.8904418945312,mriqc,fber
336,mriqc,1173.0794677734375,mriqc,fber
337,mriqc,721.7198486328125,mriqc,fber
338,mriqc,722.0062255859375,mriqc,fber
339,mriqc,735.811279296875,mriqc,fber
340,mriqc,727.7633666992188,mriqc,fber
341,mriqc,753.03515625,mriqc,fber
342,mriqc,733.2249755859375,mriqc,fber
343,mriqc,728.5974731445312,mriqc,fber
344,mriqc,731.61474609375,mriqc,fber
345,mriqc,1060.507080078125,mriqc,fber
346,mriqc,733.9489135742188,mriqc,fber
347,mriqc,763.4075317382812,mriqc,fber
348,mriqc,1282.943359375,mriqc,fber
349,mriqc,1045.0364990234375,mriqc,fber
350,mriqc,742.7840576171875,mriqc,fber
351,mriqc,1257.112060546875,mriqc,fber
352,mriqc,753.6651000976562,mriqc,fber
353,mriqc,1075.388427734375,mriqc,fber
354,mriqc,1259.8270263671875,mriqc,fber
355,mriqc,1280.5841064453125,mriqc,fber
356,mriqc,1172.1971435546875,mriqc,fber
357,mriqc,1199.3929443359375,mriqc,fber
358,mriqc,1207.3546142578125,mriqc,fber
359,mriqc,1154.31103515625,mriqc,fber
360,mriqc,1150.0162353515625,mriqc,fber
361,mriqc,1186.30126953125,mriqc,fber
362,mriqc,1183.030517578125,mriqc,fber
363,mriqc,1163.453369140625,mriqc,fber
364,mriqc,1040.476806640625,mriqc,fber
365,mriqc,1078.523681640625,mriqc,fber
366,mriqc,1158.7884521484375,mriqc,fber
367,mriqc,1116.29052734375,mriqc,fber
368,mriqc,1270.0626220703125,mriqc,fber
369,mriqc,1152.86376953125,mriqc,fber
370,mriqc,1275.8912353515625,mriqc,fber
371,mriqc,1061.7659912109375,mriqc,fber
372,mriqc,1079.70947265625,mriqc,fber
373,mriqc,1272.7747802734375,mriqc,fber
374,mriqc,1025.741943359375,mriqc,fber
375,mriqc,1117.4783935546875,mriqc,fber
376,mriqc,1033.028076171875,mriqc,fber
377,mriqc,1016.93603515625,mriqc,fber
378,mriqc,1101.5098876953125,mriqc,fber
379,mriqc,1061.05224609375,mriqc,fber
380,mriqc,1090.207275390625,mriqc,fber
381,mriqc,996.8325805664062,mriqc,fber
382,mriqc,1069.0653076171875,mriqc,fber
383,mriqc,1104.2667236328125,mriqc,fber
384,mriqc,1149.408203125,mriqc,fber
385,mriqc,1011.7844848632812,mriqc,fber
386,mriqc,1076.583251953125,mriqc,fber
387,mriqc,1041.728759765625,mriqc,fber
388,mriqc,1058.8472900390625,mriqc,fber
389,mriqc,1031.3502197265625,mriqc,fber
390,mriqc,1054.64111328125,mriqc,fber
391,mriqc,1269.423095703125,mriqc,fber
392,mriqc,984.4312133789062,mriqc,fber
393,mriqc,1105.0404052734375,mriqc,fber
394,mriqc,1073.7955322265625,mriqc,fber
395,mriqc,1044.575439453125,mriqc,fber
396,mriqc,1047.34375,mriqc,fber
397,mriqc,994.6926879882812,mriqc,fber
398,mriqc,1004.7307739257812,mriqc,fber
399,mriqc,1121.1014404296875,mriqc,fber
400,mriqc,1051.4124755859375,mriqc,fber
401,mriqc,1128.2147216796875,mriqc,fber
402,mriqc,1038.534912109375,mriqc,fber
403,mriqc,1031.9512939453125,mriqc,fber
404,mriqc,1043.7828369140625,mriqc,fber
405,mriqc,1026.8272705078125,mriqc,fber
406,mriqc,1246.2677001953125,mriqc,fber
407,mriqc,1018.187744140625,mriqc,fber
408,mriqc,1040.23095703125,mriqc,fber
409,mriqc,1061.0330810546875,mriqc,fber
410,mriqc,1255.930419921875,mriqc,fber
411,mriqc,1246.148681640625,mriqc,fber
412,mriqc,1261.3995361328125,mriqc,fber
413,mriqc,1273.375244140625,mriqc,fber
414,mriqc,1293.0791015625,mriqc,fber
415,mriqc,1468.3951416015625,mriqc,fber
416,mriqc,1444.7301025390625,mriqc,fber
417,mriqc,1418.0238037109375,mriqc,fber
418,mriqc,1446.7066650390625,mriqc,fber
419,mriqc,1829.38427734375,mriqc,fber
420,mriqc,1804.4072265625,mriqc,fber
421,mriqc,115.49461364746094,mriqc,fber
422,mriqc,113.90560913085938,mriqc,fber
423,mriqc,2402.315185546875,mriqc,fber
424,mriqc,2318.505126953125,mriqc,fber
425,mriqc,1818.00927734375,mriqc,fber
426,mriqc,1826.300537109375,mriqc,fber
427,mriqc,2388.044921875,mriqc,fber
428,mriqc,2286.88720703125,mriqc,fber
429,mriqc,2773.16943359375,mriqc,fber
430,mriqc,1864.5799560546875,mriqc,fber
431,mriqc,2758.2568359375,mriqc,fber
432,mriqc,2850.4228515625,mriqc,fber
433,mriqc,2336.248779296875,mriqc,fber
434,mriqc,1673.717041015625,mriqc,fber
435,mriqc,2348.3330078125,mriqc,fber
436,mriqc,2757.400634765625,mriqc,fber
437,mriqc,2787.9736328125,mriqc,fber
438,mriqc,1780.69970703125,mriqc,fber
439,mriqc,2914.6865234375,mriqc,fber
