,compare,gsr_x,task,data type
175,mriqc,-0.0193261224776506,mriqc,gsr_x
176,mriqc,-0.0087728751823306,mriqc,gsr_x
177,mriqc,-0.0116655966266989,mriqc,gsr_x
178,mriqc,-0.0127932047471404,mriqc,gsr_x
179,mriqc,-0.0135571751743555,mriqc,gsr_x
180,mriqc,-0.0094208288937807,mriqc,gsr_x
181,mriqc,-0.0174348037689924,mriqc,gsr_x
182,mriqc,-0.0128796389326453,mriqc,gsr_x
183,mriqc,-0.0126950740814208,mriqc,gsr_x
184,mriqc,-0.0186123121529817,mriqc,gsr_x
185,mriqc,-0.0075499271042644,mriqc,gsr_x
186,mriqc,-0.0157923568040132,mriqc,gsr_x
187,mriqc,-0.0185315310955047,mriqc,gsr_x
188,mriqc,-0.0125540737062692,mriqc,gsr_x
189,mriqc,-0.0128314374014735,mriqc,gsr_x
190,mriqc,-0.0121806999668478,mriqc,gsr_x
191,mriqc,-0.011959564872086,mriqc,gsr_x
192,mriqc,-0.0027179210446774,mriqc,gsr_x
193,mriqc,-0.0188392177224159,mriqc,gsr_x
194,mriqc,-0.0128924371674656,mriqc,gsr_x
195,mriqc,-0.0007734140963293,mriqc,gsr_x
196,mriqc,-0.0148775847628712,mriqc,gsr_x
197,mriqc,-0.0185318160802125,mriqc,gsr_x
198,mriqc,-0.0126604158431291,mriqc,gsr_x
199,mriqc,-0.0156584680080413,mriqc,gsr_x
200,mriqc,-0.0148788262158632,mriqc,gsr_x
201,mriqc,-0.0158463027328252,mriqc,gsr_x
202,mriqc,-0.0167616512626409,mriqc,gsr_x
203,mriqc,-0.0150958718731999,mriqc,gsr_x
204,mriqc,-0.0187542531639337,mriqc,gsr_x
205,mriqc,-0.00310989189893,mriqc,gsr_x
206,mriqc,-0.0074665467254817,mriqc,gsr_x
207,mriqc,-0.0053413743153214,mriqc,gsr_x
208,mriqc,-0.004504881799221,mriqc,gsr_x
209,mriqc,1.943679126270581e-05,mriqc,gsr_x
210,mriqc,-0.0170955006033182,mriqc,gsr_x
211,mriqc,-0.0059485519304871,mriqc,gsr_x
212,mriqc,-0.0185217447578907,mriqc,gsr_x
213,mriqc,-0.0136710358783602,mriqc,gsr_x
214,mriqc,0.0015861096326261,mriqc,gsr_x
215,mriqc,-0.01172052975744,mriqc,gsr_x
216,mriqc,-0.0138479098677635,mriqc,gsr_x
217,mriqc,0.0011903840349987,mriqc,gsr_x
218,mriqc,-0.0094665428623557,mriqc,gsr_x
219,mriqc,-0.0137593280524015,mriqc,gsr_x
220,mriqc,-0.0028922162018716,mriqc,gsr_x
221,mriqc,-0.0075019164942204,mriqc,gsr_x
222,mriqc,-0.0001066300683305,mriqc,gsr_x
223,mriqc,-0.0144464876502752,mriqc,gsr_x
224,mriqc,-0.0039943000301718,mriqc,gsr_x
225,mriqc,-0.0096179936081171,mriqc,gsr_x
226,mriqc,-0.0142053235322237,mriqc,gsr_x
227,mriqc,-0.016794104129076,mriqc,gsr_x
228,mriqc,-0.0162360332906246,mriqc,gsr_x
229,mriqc,-0.0148778818547725,mriqc,gsr_x
230,mriqc,-0.0117761585861444,mriqc,gsr_x
231,mriqc,-0.0135091207921504,mriqc,gsr_x
232,mriqc,0.0031381498556584,mriqc,gsr_x
233,mriqc,-0.0152582274749875,mriqc,gsr_x
234,mriqc,0.0044102813117206,mriqc,gsr_x
235,mriqc,0.0029942158143967,mriqc,gsr_x
236,mriqc,-0.0097490511834621,mriqc,gsr_x
237,mriqc,-0.0045017716474831,mriqc,gsr_x
238,mriqc,-0.0075863073579967,mriqc,gsr_x
239,mriqc,-0.0117602543905377,mriqc,gsr_x
240,mriqc,-0.0198069754987955,mriqc,gsr_x
241,mriqc,0.0019731342326849,mriqc,gsr_x
242,mriqc,0.0232683382928371,mriqc,gsr_x
243,mriqc,-0.0137205738574266,mriqc,gsr_x
244,mriqc,-0.0103959674015641,mriqc,gsr_x
245,mriqc,-0.0184259917587041,mriqc,gsr_x
246,mriqc,-0.0154156619682908,mriqc,gsr_x
247,mriqc,0.0201072357594966,mriqc,gsr_x
248,mriqc,0.0181984826922416,mriqc,gsr_x
249,mriqc,-0.0170160699635744,mriqc,gsr_x
250,mriqc,-0.0165664833039045,mriqc,gsr_x
251,mriqc,-0.0172632150352001,mriqc,gsr_x
252,mriqc,0.0018202259670943,mriqc,gsr_x
253,mriqc,0.0226622372865676,mriqc,gsr_x
254,mriqc,-0.016314061358571,mriqc,gsr_x
255,mriqc,-0.0109901446849107,mriqc,gsr_x
256,mriqc,-0.0190884340554475,mriqc,gsr_x
257,mriqc,0.0231701303273439,mriqc,gsr_x
258,mriqc,-0.0150261698290705,mriqc,gsr_x
259,mriqc,0.0090431813150644,mriqc,gsr_x
260,mriqc,-0.0163673646748065,mriqc,gsr_x
261,mriqc,0.0030833149794489,mriqc,gsr_x
262,mriqc,-0.0192958153784275,mriqc,gsr_x
263,mriqc,-0.0167687591165304,mriqc,gsr_x
264,mriqc,-0.0162134729325771,mriqc,gsr_x
265,mriqc,0.0054628839716315,mriqc,gsr_x
266,mriqc,0.0009027596097439,mriqc,gsr_x
267,mriqc,0.0046218037605285,mriqc,gsr_x
268,mriqc,-0.0136480601504445,mriqc,gsr_x
269,mriqc,-0.018624547868967,mriqc,gsr_x
270,mriqc,-0.0201038382947444,mriqc,gsr_x
271,mriqc,-0.0222644843161106,mriqc,gsr_x
272,mriqc,-0.0080106100067496,mriqc,gsr_x
273,mriqc,-0.0165615864098072,mriqc,gsr_x
274,mriqc,-0.0158686637878417,mriqc,gsr_x
275,mriqc,-0.0096682710573077,mriqc,gsr_x
276,mriqc,-0.0146555062383413,mriqc,gsr_x
277,mriqc,-0.0139204375445842,mriqc,gsr_x
278,mriqc,-0.0131307747215032,mriqc,gsr_x
279,mriqc,-0.0064529790543019,mriqc,gsr_x
280,mriqc,-0.0119892917573452,mriqc,gsr_x
281,mriqc,-0.0046934131532907,mriqc,gsr_x
282,mriqc,-0.0204083491116762,mriqc,gsr_x
283,mriqc,-0.0085164960473775,mriqc,gsr_x
284,mriqc,-0.0168642532080411,mriqc,gsr_x
285,mriqc,-0.0147940199822187,mriqc,gsr_x
286,mriqc,-0.0134564694017171,mriqc,gsr_x
287,mriqc,-0.0024898392148315,mriqc,gsr_x
288,mriqc,-0.0088373590260744,mriqc,gsr_x
289,mriqc,-0.0137465987354516,mriqc,gsr_x
290,mriqc,-0.0140483416616916,mriqc,gsr_x
291,mriqc,-0.0202552378177642,mriqc,gsr_x
292,mriqc,0.0279114078730344,mriqc,gsr_x
293,mriqc,0.0242371000349521,mriqc,gsr_x
294,mriqc,-0.0170300304889678,mriqc,gsr_x
295,mriqc,-0.0115052256733179,mriqc,gsr_x
296,mriqc,0.024574926123023,mriqc,gsr_x
297,mriqc,-0.0110624097287654,mriqc,gsr_x
298,mriqc,-0.0188477244228124,mriqc,gsr_x
299,mriqc,-0.0141413118690252,mriqc,gsr_x
300,mriqc,-0.0085392007604241,mriqc,gsr_x
301,mriqc,-0.0103052491322159,mriqc,gsr_x
302,mriqc,-0.0050749080255627,mriqc,gsr_x
303,mriqc,-0.017860859632492,mriqc,gsr_x
304,mriqc,-0.0169507823884487,mriqc,gsr_x
305,mriqc,-0.001390496850945,mriqc,gsr_x
306,mriqc,-0.0164313931018114,mriqc,gsr_x
307,mriqc,0.0025448240339756,mriqc,gsr_x
308,mriqc,-0.0170798040926456,mriqc,gsr_x
309,mriqc,0.0258069559931755,mriqc,gsr_x
310,mriqc,-0.0216222312301397,mriqc,gsr_x
311,mriqc,-0.0078417584300041,mriqc,gsr_x
312,mriqc,0.001739168073982,mriqc,gsr_x
313,mriqc,-0.0022308230400085,mriqc,gsr_x
314,mriqc,-0.0124670639634132,mriqc,gsr_x
315,mriqc,-0.0007496192120015,mriqc,gsr_x
316,mriqc,0.0266782827675342,mriqc,gsr_x
317,mriqc,0.0277280434966087,mriqc,gsr_x
318,mriqc,-0.0127690471708774,mriqc,gsr_x
319,mriqc,-0.0094840172678232,mriqc,gsr_x
320,mriqc,0.0285067074000835,mriqc,gsr_x
321,mriqc,-0.0092939138412475,mriqc,gsr_x
322,mriqc,0.0247383415699005,mriqc,gsr_x
