,compare,fd_mean,task,data type
416,mriqc,0.0855229329170167,mriqc,fd_mean
417,mriqc,0.095671721189966,mriqc,fd_mean
418,mriqc,0.0650833178899848,mriqc,fd_mean
419,mriqc,0.1506228668856991,mriqc,fd_mean
420,mriqc,0.2797956931274803,mriqc,fd_mean
421,mriqc,0.0505280959000868,mriqc,fd_mean
422,mriqc,0.0483209714793491,mriqc,fd_mean
423,mriqc,0.0922301669229015,mriqc,fd_mean
424,mriqc,0.237913521109524,mriqc,fd_mean
425,mriqc,0.1082794404491296,mriqc,fd_mean
426,mriqc,0.1015654039646768,mriqc,fd_mean
427,mriqc,0.070218104430134,mriqc,fd_mean
428,mriqc,0.1401376649328119,mriqc,fd_mean
429,mriqc,0.0421835638180045,mriqc,fd_mean
430,mriqc,0.1033925253013156,mriqc,fd_mean
431,mriqc,0.0419377253164823,mriqc,fd_mean
432,mriqc,0.4082135204538777,mriqc,fd_mean
433,mriqc,0.0900527898039425,mriqc,fd_mean
434,mriqc,0.0650111340275344,mriqc,fd_mean
435,mriqc,0.0848440555588587,mriqc,fd_mean
436,mriqc,0.5020949344740069,mriqc,fd_mean
437,mriqc,0.0409449021713714,mriqc,fd_mean
438,mriqc,0.0621567353157832,mriqc,fd_mean
439,mriqc,0.3857882251666449,mriqc,fd_mean
440,mriqc,0.0926373618853724,mriqc,fd_mean
441,mriqc,0.0802635888202804,mriqc,fd_mean
442,mriqc,0.1177826116397842,mriqc,fd_mean
443,mriqc,0.1851991618465909,mriqc,fd_mean
444,mriqc,0.0644393356094398,mriqc,fd_mean
445,mriqc,0.0674731613036813,mriqc,fd_mean
446,mriqc,0.128018043996055,mriqc,fd_mean
447,mriqc,0.0903272487639478,mriqc,fd_mean
448,mriqc,0.2289756472736591,mriqc,fd_mean
449,mriqc,0.1001869361283527,mriqc,fd_mean
450,mriqc,0.1674985637033797,mriqc,fd_mean
451,mriqc,0.0636111008209787,mriqc,fd_mean
452,mriqc,0.0546208787885221,mriqc,fd_mean
453,mriqc,0.0724447546842774,mriqc,fd_mean
454,mriqc,0.1103180865275364,mriqc,fd_mean
455,mriqc,0.0507199639692887,mriqc,fd_mean
456,mriqc,0.0800884930667118,mriqc,fd_mean
457,mriqc,0.0564698893654455,mriqc,fd_mean
458,mriqc,0.2000962514554216,mriqc,fd_mean
459,mriqc,0.0958141314005435,mriqc,fd_mean
460,mriqc,0.0939943724494945,mriqc,fd_mean
461,mriqc,0.1607984344091098,mriqc,fd_mean
462,mriqc,0.0745329118672712,mriqc,fd_mean
463,mriqc,0.1007427866386327,mriqc,fd_mean
464,mriqc,0.0956721834954385,mriqc,fd_mean
465,mriqc,0.1034779464111878,mriqc,fd_mean
466,mriqc,0.1328823472668129,mriqc,fd_mean
467,mriqc,0.0933594310326531,mriqc,fd_mean
468,mriqc,0.0709624412356304,mriqc,fd_mean
469,mriqc,0.1116120684453097,mriqc,fd_mean
470,mriqc,0.1058707141133601,mriqc,fd_mean
471,mriqc,0.1246982587033247,mriqc,fd_mean
472,mriqc,0.0785310088665604,mriqc,fd_mean
473,mriqc,0.1035771830091558,mriqc,fd_mean
474,mriqc,0.1145303109560353,mriqc,fd_mean
475,mriqc,0.0954223345291128,mriqc,fd_mean
476,mriqc,0.0690803607038062,mriqc,fd_mean
477,mriqc,0.0928571357724756,mriqc,fd_mean
478,mriqc,0.1088559259298545,mriqc,fd_mean
479,mriqc,0.0673426875815362,mriqc,fd_mean
480,mriqc,0.0611837888167524,mriqc,fd_mean
481,mriqc,0.0851204798229313,mriqc,fd_mean
482,mriqc,0.0976059579436508,mriqc,fd_mean
483,mriqc,0.1146636377826623,mriqc,fd_mean
484,mriqc,0.1207800865761681,mriqc,fd_mean
485,mriqc,0.1435407338840449,mriqc,fd_mean
486,mriqc,0.0855229329170167,mriqc,fd_mean
487,mriqc,0.2157915923353847,mriqc,fd_mean
488,mriqc,0.1203024652093996,mriqc,fd_mean
489,mriqc,0.0956596894453096,mriqc,fd_mean
490,mriqc,0.0864022395491281,mriqc,fd_mean
491,mriqc,0.1076537571667997,mriqc,fd_mean
492,mriqc,0.1671251062616612,mriqc,fd_mean
493,mriqc,0.1209743449642577,mriqc,fd_mean
494,mriqc,0.2233097420373638,mriqc,fd_mean
495,mriqc,0.0816879272226178,mriqc,fd_mean
496,mriqc,0.0785414454901116,mriqc,fd_mean
497,mriqc,0.09461220106588,mriqc,fd_mean
498,mriqc,0.2289756472736591,mriqc,fd_mean
499,mriqc,0.1873699224692401,mriqc,fd_mean
500,mriqc,0.1707638774914371,mriqc,fd_mean
501,mriqc,0.0674731613036813,mriqc,fd_mean
502,mriqc,0.0636111008209787,mriqc,fd_mean
503,mriqc,0.2797956931274803,mriqc,fd_mean
504,mriqc,0.1164028963455226,mriqc,fd_mean
505,mriqc,0.0900527898039425,mriqc,fd_mean
506,mriqc,0.0546208787885221,mriqc,fd_mean
507,mriqc,0.0985152528889988,mriqc,fd_mean
508,mriqc,0.0848440555588587,mriqc,fd_mean
509,mriqc,0.0922301669229015,mriqc,fd_mean
510,mriqc,0.0644393356094398,mriqc,fd_mean
511,mriqc,0.0650111340275344,mriqc,fd_mean
512,mriqc,0.2000962514554216,mriqc,fd_mean
513,mriqc,0.070218104430134,mriqc,fd_mean
514,mriqc,0.0621567353157832,mriqc,fd_mean
515,mriqc,0.0564698893654455,mriqc,fd_mean
516,mriqc,0.0507199639692887,mriqc,fd_mean
517,mriqc,0.0926373618853724,mriqc,fd_mean
