,compare,efc,task,data type
179,mriqc,0.5391220007731232,mriqc,efc
180,mriqc,0.5355494132515595,mriqc,efc
181,mriqc,0.5340277212440843,mriqc,efc
182,mriqc,0.5329074673076073,mriqc,efc
183,mriqc,0.5327916074047181,mriqc,efc
184,mriqc,0.533848880557685,mriqc,efc
185,mriqc,0.5340538000300549,mriqc,efc
186,mriqc,0.5878698487573538,mriqc,efc
187,mriqc,0.5924979055632896,mriqc,efc
188,mriqc,0.5532883993173637,mriqc,efc
189,mriqc,0.5417212208009299,mriqc,efc
190,mriqc,0.5466267641358495,mriqc,efc
191,mriqc,0.5398833879374393,mriqc,efc
192,mriqc,0.5893373216287795,mriqc,efc
193,mriqc,0.5850898295572449,mriqc,efc
194,mriqc,0.5337229705297676,mriqc,efc
195,mriqc,0.585083799482228,mriqc,efc
196,mriqc,0.5316372861213506,mriqc,efc
197,mriqc,0.5909957984148437,mriqc,efc
198,mriqc,0.5433649574036195,mriqc,efc
199,mriqc,0.5312377549971525,mriqc,efc
200,mriqc,0.5397135150549114,mriqc,efc
201,mriqc,0.537577837716867,mriqc,efc
202,mriqc,0.5872584403819201,mriqc,efc
203,mriqc,0.5314317481797483,mriqc,efc
204,mriqc,0.5869424541432129,mriqc,efc
205,mriqc,0.5967465314950837,mriqc,efc
206,mriqc,0.5329408131070599,mriqc,efc
207,mriqc,0.5966365470499033,mriqc,efc
208,mriqc,0.5521509828596848,mriqc,efc
209,mriqc,0.5922921099261736,mriqc,efc
210,mriqc,0.5310587081543424,mriqc,efc
211,mriqc,0.5967919374445702,mriqc,efc
212,mriqc,0.5914007926839289,mriqc,efc
213,mriqc,0.5118469922286363,mriqc,efc
214,mriqc,0.595561492906502,mriqc,efc
215,mriqc,0.541474709272674,mriqc,efc
216,mriqc,0.5327957820720375,mriqc,efc
217,mriqc,0.5934051483882714,mriqc,efc
218,mriqc,0.5367843416915634,mriqc,efc
219,mriqc,0.5363956337789342,mriqc,efc
220,mriqc,0.6088728577368046,mriqc,efc
221,mriqc,0.5368352107859369,mriqc,efc
222,mriqc,0.5799020065567896,mriqc,efc
223,mriqc,0.5305933615959854,mriqc,efc
224,mriqc,0.5492980873683457,mriqc,efc
225,mriqc,0.5514314969858709,mriqc,efc
226,mriqc,0.5181063131744061,mriqc,efc
227,mriqc,0.5313230006730328,mriqc,efc
228,mriqc,0.532737285190463,mriqc,efc
229,mriqc,0.5379581447557548,mriqc,efc
230,mriqc,0.5063501923074422,mriqc,efc
231,mriqc,0.508134372965013,mriqc,efc
232,mriqc,0.5869049852155437,mriqc,efc
233,mriqc,0.5846454594136903,mriqc,efc
234,mriqc,0.5788289108992911,mriqc,efc
235,mriqc,0.585189970033808,mriqc,efc
236,mriqc,0.5455610385700385,mriqc,efc
237,mriqc,0.5499334098874362,mriqc,efc
238,mriqc,0.5321780859260734,mriqc,efc
239,mriqc,0.5166096176317446,mriqc,efc
240,mriqc,0.523955279784409,mriqc,efc
241,mriqc,0.5932861961392196,mriqc,efc
242,mriqc,0.6068921069415026,mriqc,efc
243,mriqc,0.5309459405976158,mriqc,efc
244,mriqc,0.5458348658227299,mriqc,efc
245,mriqc,0.5270260826020006,mriqc,efc
246,mriqc,0.5185586718788806,mriqc,efc
247,mriqc,0.6144035188484784,mriqc,efc
248,mriqc,0.6144645926851883,mriqc,efc
249,mriqc,0.5874153769496682,mriqc,efc
250,mriqc,0.5293747710515401,mriqc,efc
251,mriqc,0.5269980968692297,mriqc,efc
252,mriqc,0.5911336655145896,mriqc,efc
253,mriqc,0.612276860853408,mriqc,efc
254,mriqc,0.5456004144445079,mriqc,efc
255,mriqc,0.5520757873088328,mriqc,efc
256,mriqc,0.52558267849154,mriqc,efc
257,mriqc,0.6122465558610153,mriqc,efc
258,mriqc,0.5291880448824264,mriqc,efc
259,mriqc,0.5820777297776386,mriqc,efc
260,mriqc,0.5309465075277455,mriqc,efc
261,mriqc,0.5907533584757019,mriqc,efc
