,compare,gsr_y,task,data type
283,mriqc,0.041849885135889,mriqc,gsr_y
284,mriqc,0.0454498715698719,mriqc,gsr_y
285,mriqc,0.052251897752285,mriqc,gsr_y
286,mriqc,0.0478455312550067,mriqc,gsr_y
287,mriqc,0.0663047432899475,mriqc,gsr_y
288,mriqc,0.0409997589886188,mriqc,gsr_y
289,mriqc,0.0409230217337608,mriqc,gsr_y
290,mriqc,0.0519549623131752,mriqc,gsr_y
291,mriqc,0.0708377510309219,mriqc,gsr_y
292,mriqc,0.0259749479591846,mriqc,gsr_y
293,mriqc,0.0270381737500429,mriqc,gsr_y
294,mriqc,0.0465943925082683,mriqc,gsr_y
295,mriqc,0.0400169640779495,mriqc,gsr_y
296,mriqc,0.0288793556392192,mriqc,gsr_y
297,mriqc,0.0398494414985179,mriqc,gsr_y
298,mriqc,0.0502578467130661,mriqc,gsr_y
299,mriqc,0.0509220100939273,mriqc,gsr_y
300,mriqc,0.0416716150939464,mriqc,gsr_y
301,mriqc,0.0428424850106239,mriqc,gsr_y
302,mriqc,0.0655513182282447,mriqc,gsr_y
303,mriqc,0.0474325381219387,mriqc,gsr_y
304,mriqc,0.0549927316606044,mriqc,gsr_y
305,mriqc,0.0584758929908275,mriqc,gsr_y
306,mriqc,0.0543874762952327,mriqc,gsr_y
307,mriqc,0.0396277941763401,mriqc,gsr_y
308,mriqc,0.0556240864098072,mriqc,gsr_y
309,mriqc,0.0307004712522029,mriqc,gsr_y
310,mriqc,0.0730129480361938,mriqc,gsr_y
311,mriqc,0.0413455702364444,mriqc,gsr_y
312,mriqc,0.0383989214897155,mriqc,gsr_y
313,mriqc,0.0445723459124565,mriqc,gsr_y
314,mriqc,0.0379446446895599,mriqc,gsr_y
315,mriqc,0.0602301433682441,mriqc,gsr_y
316,mriqc,0.0245100688189268,mriqc,gsr_y
317,mriqc,0.0262402780354022,mriqc,gsr_y
318,mriqc,0.0414556749165058,mriqc,gsr_y
319,mriqc,0.0468573048710823,mriqc,gsr_y
320,mriqc,0.0264084432274103,mriqc,gsr_y
321,mriqc,0.0423707365989685,mriqc,gsr_y
322,mriqc,0.0272566135972738,mriqc,gsr_y
323,mriqc,0.0409547388553619,mriqc,gsr_y
324,mriqc,0.0480366684496402,mriqc,gsr_y
325,mriqc,0.0416430383920669,mriqc,gsr_y
326,mriqc,0.0506957098841667,mriqc,gsr_y
327,mriqc,0.0389583967626094,mriqc,gsr_y
328,mriqc,0.0549476705491542,mriqc,gsr_y
329,mriqc,0.0259543526917696,mriqc,gsr_y
330,mriqc,0.038878247141838,mriqc,gsr_y
331,mriqc,0.0409745760262012,mriqc,gsr_y
332,mriqc,0.0426896661520004,mriqc,gsr_y
333,mriqc,0.0544526688754558,mriqc,gsr_y
334,mriqc,0.0573502331972122,mriqc,gsr_y
335,mriqc,0.0689572021365165,mriqc,gsr_y
336,mriqc,0.0525430478155612,mriqc,gsr_y
