,compare,aor,task,data type
281,mriqc,0.0005722592592592,mriqc,aor
282,mriqc,0.0020104814814814,mriqc,aor
283,mriqc,0.0031432083333333,mriqc,aor
284,mriqc,0.0063599583333333,mriqc,aor
285,mriqc,0.0003155925925925,mriqc,aor
286,mriqc,0.0038848148148148,mriqc,aor
287,mriqc,0.0013272592592592,mriqc,aor
288,mriqc,0.0029095,mriqc,aor
289,mriqc,0.0020156666666666,mriqc,aor
290,mriqc,0.0005705925925925,mriqc,aor
291,mriqc,0.0017895555555555,mriqc,aor
292,mriqc,0.0011786249999999,mriqc,aor
293,mriqc,0.0016512083333333,mriqc,aor
294,mriqc,0.0072257083333333,mriqc,aor
295,mriqc,0.00273875,mriqc,aor
296,mriqc,0.0050030833333333,mriqc,aor
297,mriqc,0.0050166666666666,mriqc,aor
298,mriqc,0.0044529583333333,mriqc,aor
299,mriqc,0.0008458518518518,mriqc,aor
300,mriqc,0.0008611111111111,mriqc,aor
301,mriqc,0.0132309629629629,mriqc,aor
302,mriqc,0.0019922222222222,mriqc,aor
303,mriqc,0.0080987499999999,mriqc,aor
304,mriqc,0.0015116296296296,mriqc,aor
305,mriqc,0.0016687777777777,mriqc,aor
306,mriqc,0.0008277777777777,mriqc,aor
307,mriqc,0.0012233333333333,mriqc,aor
308,mriqc,0.0004371851851851,mriqc,aor
309,mriqc,0.00579875,mriqc,aor
310,mriqc,0.0008680476190476,mriqc,aor
311,mriqc,0.0028235555555555,mriqc,aor
312,mriqc,0.0020781111111111,mriqc,aor
313,mriqc,0.0011461851851851,mriqc,aor
314,mriqc,0.0029095,mriqc,aor
315,mriqc,0.0024638518518518,mriqc,aor
316,mriqc,0.0018826666666666,mriqc,aor
317,mriqc,0.0040952916666666,mriqc,aor
318,mriqc,0.0038523333333333,mriqc,aor
319,mriqc,0.0004431111111111,mriqc,aor
320,mriqc,0.0044844814814814,mriqc,aor
321,mriqc,0.0006523703703703,mriqc,aor
322,mriqc,0.0011112592592592,mriqc,aor
323,mriqc,0.0005858148148148,mriqc,aor
324,mriqc,0.0013749442379182,mriqc,aor
325,mriqc,0.0005746666666666,mriqc,aor
326,mriqc,0.009531037037037,mriqc,aor
327,mriqc,0.0029724814814814,mriqc,aor
328,mriqc,0.0005462592592592,mriqc,aor
329,mriqc,0.0046291851851851,mriqc,aor
330,mriqc,0.0018729629629629,mriqc,aor
331,mriqc,0.0017462962962962,mriqc,aor
332,mriqc,0.0010032222222222,mriqc,aor
333,mriqc,0.0004404814814814,mriqc,aor
334,mriqc,0.0004065555555555,mriqc,aor
335,mriqc,0.0006181904761904,mriqc,aor
336,mriqc,0.0028325555555555,mriqc,aor
337,mriqc,0.0006083333333333,mriqc,aor
338,mriqc,0.0009303333333333,mriqc,aor
339,mriqc,0.0016024761904761,mriqc,aor
340,mriqc,0.0034246666666666,mriqc,aor
341,mriqc,0.0005840476190476,mriqc,aor
342,mriqc,0.0010413809523809,mriqc,aor
343,mriqc,0.0005800416666666,mriqc,aor
344,mriqc,0.0007905416666666,mriqc,aor
345,mriqc,0.0022496296296296,mriqc,aor
346,mriqc,0.0006687083333333,mriqc,aor
347,mriqc,0.0005755555555555,mriqc,aor
348,mriqc,0.0040796261682242,mriqc,aor
349,mriqc,0.0038799999999999,mriqc,aor
350,mriqc,0.0011592592592592,mriqc,aor
351,mriqc,0.0022463551401869,mriqc,aor
352,mriqc,0.0005901111111111,mriqc,aor
353,mriqc,0.0004744444444444,mriqc,aor
354,mriqc,0.0004050934579439,mriqc,aor
355,mriqc,0.0047238524590163,mriqc,aor
356,mriqc,0.0014087850467289,mriqc,aor
357,mriqc,0.0013756074766355,mriqc,aor
358,mriqc,0.0028121495327102,mriqc,aor
359,mriqc,0.0020447663551401,mriqc,aor
360,mriqc,0.0029790983606557,mriqc,aor
361,mriqc,0.0040996721311475,mriqc,aor
362,mriqc,0.0017599999999999,mriqc,aor
363,mriqc,0.0010688934426229,mriqc,aor
364,mriqc,0.0005876635514018,mriqc,aor
365,mriqc,0.001013738317757,mriqc,aor
366,mriqc,0.0022719158878504,mriqc,aor
367,mriqc,0.0012125233644859,mriqc,aor
368,mriqc,0.0086954918032786,mriqc,aor
369,mriqc,0.0007576635514018,mriqc,aor
370,mriqc,0.0072359836065573,mriqc,aor
371,mriqc,0.000679953271028,mriqc,aor
372,mriqc,0.001337476635514,mriqc,aor
373,mriqc,0.0061479906542056,mriqc,aor
374,mriqc,0.0011785655737704,mriqc,aor
375,mriqc,0.0128036475409836,mriqc,aor
376,mriqc,0.0032556147540983,mriqc,aor
377,mriqc,0.0047929098360655,mriqc,aor
378,mriqc,0.0004159629629629,mriqc,aor
379,mriqc,0.0016784285714285,mriqc,aor
380,mriqc,0.0008278148148148,mriqc,aor
381,mriqc,0.0111563333333333,mriqc,aor
382,mriqc,0.0010709523809523,mriqc,aor
383,mriqc,0.0008981111111111,mriqc,aor
384,mriqc,0.0103869672131147,mriqc,aor
385,mriqc,0.0039065714285714,mriqc,aor
386,mriqc,0.0012500819672131,mriqc,aor
387,mriqc,0.0005483809523809,mriqc,aor
388,mriqc,0.0042421428571428,mriqc,aor
389,mriqc,0.0015221311475409,mriqc,aor
390,mriqc,0.01264075,mriqc,aor
391,mriqc,0.0005992523364485,mriqc,aor
392,mriqc,0.0051146666666666,mriqc,aor
393,mriqc,0.0005817407407407,mriqc,aor
394,mriqc,0.0050334166666666,mriqc,aor
395,mriqc,0.0005459629629629,mriqc,aor
396,mriqc,0.0052616666666666,mriqc,aor
397,mriqc,0.0053379166666666,mriqc,aor
398,mriqc,0.00469975,mriqc,aor
399,mriqc,0.0004397037037037,mriqc,aor
400,mriqc,0.0025048333333333,mriqc,aor
401,mriqc,0.0003382592592592,mriqc,aor
402,mriqc,0.0003583333333333,mriqc,aor
403,mriqc,0.0013657777777777,mriqc,aor
404,mriqc,0.0003489629629629,mriqc,aor
405,mriqc,0.0016749259259259,mriqc,aor
406,mriqc,0.0004491121495327,mriqc,aor
407,mriqc,0.0012221851851851,mriqc,aor
408,mriqc,0.0010028888888888,mriqc,aor
409,mriqc,0.0065347037037037,mriqc,aor
410,mriqc,0.0051398770491803,mriqc,aor
411,mriqc,0.0043091393442622,mriqc,aor
412,mriqc,0.0022221311475409,mriqc,aor
413,mriqc,0.0010864444444444,mriqc,aor
414,mriqc,0.001069037037037,mriqc,aor
415,mriqc,0.0018783333333333,mriqc,aor
416,mriqc,0.0024705555555555,mriqc,aor
417,mriqc,0.0016474444444444,mriqc,aor
418,mriqc,0.0012611666666666,mriqc,aor
419,mriqc,0.0134400843881856,mriqc,aor
420,mriqc,0.007324135021097,mriqc,aor
421,mriqc,0.0005768072289156,mriqc,aor
422,mriqc,0.0007361212121212,mriqc,aor
423,mriqc,0.0010850666666666,mriqc,aor
424,mriqc,0.0023164666666666,mriqc,aor
425,mriqc,0.0005526333333333,mriqc,aor
426,mriqc,0.0015520333333333,mriqc,aor
427,mriqc,0.0005184666666666,mriqc,aor
428,mriqc,0.0005252333333333,mriqc,aor
429,mriqc,0.0004078333333333,mriqc,aor
430,mriqc,0.0004006,mriqc,aor
431,mriqc,0.0004472333333333,mriqc,aor
432,mriqc,0.0134839666666666,mriqc,aor
433,mriqc,0.0003535333333333,mriqc,aor
434,mriqc,0.0005461,mriqc,aor
435,mriqc,0.0003722,mriqc,aor
436,mriqc,0.0086747,mriqc,aor
437,mriqc,0.0005655333333333,mriqc,aor
438,mriqc,0.0004241,mriqc,aor
439,mriqc,0.0114101,mriqc,aor
440,mriqc,0.0004504666666666,mriqc,aor
441,mriqc,0.0005093666666666,mriqc,aor
442,mriqc,0.0074774333333333,mriqc,aor
443,mriqc,0.0006218333333333,mriqc,aor
444,mriqc,0.0004582666666666,mriqc,aor
445,mriqc,0.0003633333333333,mriqc,aor
446,mriqc,0.0013555333333333,mriqc,aor
447,mriqc,0.0006051,mriqc,aor
448,mriqc,0.0005327666666666,mriqc,aor
449,mriqc,0.0004831333333333,mriqc,aor
450,mriqc,0.0006724,mriqc,aor
451,mriqc,0.0011266,mriqc,aor
452,mriqc,0.0006322,mriqc,aor
453,mriqc,0.0006797666666666,mriqc,aor
454,mriqc,0.0016822999999999,mriqc,aor
455,mriqc,0.0005406,mriqc,aor
456,mriqc,0.0004857999999999,mriqc,aor
457,mriqc,0.0005373999999999,mriqc,aor
458,mriqc,0.0006469,mriqc,aor
459,mriqc,0.0007926666666666,mriqc,aor
460,mriqc,0.0026659333333333,mriqc,aor
461,mriqc,0.0009316333333333,mriqc,aor
462,mriqc,0.0007129666666666,mriqc,aor
463,mriqc,0.0009706,mriqc,aor
464,mriqc,0.0007377,mriqc,aor
465,mriqc,0.0047515,mriqc,aor
466,mriqc,0.0025010666666666,mriqc,aor
467,mriqc,0.0031516666666666,mriqc,aor
468,mriqc,0.0015717777777777,mriqc,aor
469,mriqc,0.0008603333333333,mriqc,aor
470,mriqc,0.0005360555555555,mriqc,aor
471,mriqc,0.0022186666666666,mriqc,aor
472,mriqc,0.0028457327586206,mriqc,aor
473,mriqc,0.0006076666666666,mriqc,aor
474,mriqc,0.0015058189655172,mriqc,aor
475,mriqc,0.0006811637931034,mriqc,aor
476,mriqc,0.0012412931034482,mriqc,aor
477,mriqc,0.0005875,mriqc,aor
478,mriqc,0.0005260775862068,mriqc,aor
479,mriqc,0.0022841111111111,mriqc,aor
480,mriqc,0.0015052777777777,mriqc,aor
481,mriqc,0.0008436111111111,mriqc,aor
482,mriqc,0.0013945555555555,mriqc,aor
483,mriqc,0.0016157222222222,mriqc,aor
484,mriqc,0.0014284444444444,mriqc,aor
485,mriqc,0.0043216111111111,mriqc,aor
486,mriqc,0.0024705555555555,mriqc,aor
487,mriqc,0.0008320555555555,mriqc,aor
488,mriqc,0.0010619444444444,mriqc,aor
489,mriqc,0.0007144444444444,mriqc,aor
490,mriqc,0.0005011111111111,mriqc,aor
491,mriqc,0.0010921666666666,mriqc,aor
492,mriqc,0.0020806751054852,mriqc,aor
493,mriqc,0.0010987222222222,mriqc,aor
494,mriqc,0.0009563333333333,mriqc,aor
