,compare,gcor,task,data type
361,mriqc,0.060405,mriqc,gcor
362,mriqc,0.0496935,mriqc,gcor
363,mriqc,0.0351497,mriqc,gcor
364,mriqc,0.0175859,mriqc,gcor
365,mriqc,0.038854,mriqc,gcor
366,mriqc,0.0430309,mriqc,gcor
367,mriqc,0.0568896,mriqc,gcor
368,mriqc,0.0312907,mriqc,gcor
369,mriqc,0.01527,mriqc,gcor
370,mriqc,0.0627399,mriqc,gcor
371,mriqc,0.0403472,mriqc,gcor
372,mriqc,0.0434665,mriqc,gcor
373,mriqc,0.0437293,mriqc,gcor
374,mriqc,0.0207583,mriqc,gcor
375,mriqc,0.0159789,mriqc,gcor
376,mriqc,0.0428156,mriqc,gcor
377,mriqc,0.0172795,mriqc,gcor
378,mriqc,0.0392049,mriqc,gcor
379,mriqc,0.0467785,mriqc,gcor
380,mriqc,0.0248149,mriqc,gcor
381,mriqc,0.0301621,mriqc,gcor
382,mriqc,0.038935,mriqc,gcor
383,mriqc,0.0786919,mriqc,gcor
384,mriqc,0.0189228,mriqc,gcor
385,mriqc,0.0437174,mriqc,gcor
386,mriqc,0.0264319,mriqc,gcor
387,mriqc,0.0507244,mriqc,gcor
388,mriqc,0.0301076,mriqc,gcor
389,mriqc,0.0108954,mriqc,gcor
390,mriqc,0.0363619,mriqc,gcor
391,mriqc,0.048574,mriqc,gcor
392,mriqc,0.024437,mriqc,gcor
393,mriqc,0.0227738,mriqc,gcor
394,mriqc,0.0386787,mriqc,gcor
395,mriqc,0.0448028,mriqc,gcor
396,mriqc,0.054821,mriqc,gcor
397,mriqc,0.0331318,mriqc,gcor
398,mriqc,0.0245198,mriqc,gcor
399,mriqc,0.0310834,mriqc,gcor
400,mriqc,0.0494099,mriqc,gcor
401,mriqc,0.0372683,mriqc,gcor
402,mriqc,0.0205512,mriqc,gcor
403,mriqc,0.0501479,mriqc,gcor
404,mriqc,0.0546022,mriqc,gcor
405,mriqc,0.0463777,mriqc,gcor
406,mriqc,0.0728536,mriqc,gcor
407,mriqc,0.0387663,mriqc,gcor
408,mriqc,0.0485109,mriqc,gcor
409,mriqc,0.0275816,mriqc,gcor
410,mriqc,0.0623725,mriqc,gcor
411,mriqc,0.0447701,mriqc,gcor
412,mriqc,0.0636946,mriqc,gcor
413,mriqc,0.0464227,mriqc,gcor
414,mriqc,0.0944697,mriqc,gcor
415,mriqc,0.0214653,mriqc,gcor
416,mriqc,0.0224682,mriqc,gcor
417,mriqc,0.0110845,mriqc,gcor
418,mriqc,0.0134153,mriqc,gcor
419,mriqc,0.0132117,mriqc,gcor
420,mriqc,0.0425514,mriqc,gcor
421,mriqc,0.00575244,mriqc,gcor
422,mriqc,0.00451156,mriqc,gcor
423,mriqc,0.0104651,mriqc,gcor
424,mriqc,0.0425058,mriqc,gcor
425,mriqc,0.0184341,mriqc,gcor
426,mriqc,0.0119691,mriqc,gcor
427,mriqc,0.0155845,mriqc,gcor
428,mriqc,0.0122211,mriqc,gcor
429,mriqc,0.00481522,mriqc,gcor
430,mriqc,0.00904591,mriqc,gcor
431,mriqc,0.00625156,mriqc,gcor
432,mriqc,0.0731418,mriqc,gcor
433,mriqc,0.0143003,mriqc,gcor
434,mriqc,0.00858998,mriqc,gcor
435,mriqc,0.0128722,mriqc,gcor
436,mriqc,0.0636599,mriqc,gcor
437,mriqc,0.00331936,mriqc,gcor
438,mriqc,0.0386689,mriqc,gcor
439,mriqc,0.0838663,mriqc,gcor
440,mriqc,0.0145081,mriqc,gcor
441,mriqc,0.0121903,mriqc,gcor
442,mriqc,0.0118467,mriqc,gcor
443,mriqc,0.0103302,mriqc,gcor
444,mriqc,0.0126933,mriqc,gcor
445,mriqc,0.0141836,mriqc,gcor
446,mriqc,0.0129254,mriqc,gcor
447,mriqc,0.0163872,mriqc,gcor
448,mriqc,0.0115038,mriqc,gcor
449,mriqc,0.0068617,mriqc,gcor
450,mriqc,0.0178286,mriqc,gcor
451,mriqc,0.0193883,mriqc,gcor
452,mriqc,0.0180062,mriqc,gcor
453,mriqc,0.0169556,mriqc,gcor
454,mriqc,0.0175325,mriqc,gcor
455,mriqc,0.0168081,mriqc,gcor
456,mriqc,0.0123113,mriqc,gcor
457,mriqc,0.00859361,mriqc,gcor
458,mriqc,0.00921556,mriqc,gcor
459,mriqc,0.005798,mriqc,gcor
460,mriqc,0.00680925,mriqc,gcor
461,mriqc,0.0185678,mriqc,gcor
462,mriqc,0.0102895,mriqc,gcor
463,mriqc,0.0123106,mriqc,gcor
464,mriqc,0.0181942,mriqc,gcor
465,mriqc,0.00964541,mriqc,gcor
466,mriqc,0.0193643,mriqc,gcor
467,mriqc,0.0375097,mriqc,gcor
468,mriqc,0.0209951,mriqc,gcor
469,mriqc,0.0143315,mriqc,gcor
470,mriqc,0.00728842,mriqc,gcor
471,mriqc,0.0078489,mriqc,gcor
472,mriqc,0.0439419,mriqc,gcor
473,mriqc,0.00625154,mriqc,gcor
474,mriqc,0.0189625,mriqc,gcor
475,mriqc,0.00798937,mriqc,gcor
476,mriqc,0.0305419,mriqc,gcor
477,mriqc,0.00646758,mriqc,gcor
478,mriqc,0.00849035,mriqc,gcor
479,mriqc,0.0243253,mriqc,gcor
480,mriqc,0.0147405,mriqc,gcor
481,mriqc,0.00932851,mriqc,gcor
482,mriqc,0.00715939,mriqc,gcor
483,mriqc,0.00945026,mriqc,gcor
484,mriqc,0.0107605,mriqc,gcor
485,mriqc,0.0133125,mriqc,gcor
486,mriqc,0.0224682,mriqc,gcor
487,mriqc,0.0205463,mriqc,gcor
488,mriqc,0.0224999,mriqc,gcor
489,mriqc,0.0092636,mriqc,gcor
490,mriqc,0.00929703,mriqc,gcor
491,mriqc,0.0103646,mriqc,gcor
492,mriqc,0.0150191,mriqc,gcor
493,mriqc,0.0077026,mriqc,gcor
494,mriqc,0.0191231,mriqc,gcor
495,mriqc,0.0120032,mriqc,gcor
496,mriqc,0.0101825,mriqc,gcor
497,mriqc,0.0214653,mriqc,gcor
498,mriqc,0.0115038,mriqc,gcor
499,mriqc,0.0419439,mriqc,gcor
500,mriqc,0.00897775,mriqc,gcor
501,mriqc,0.0141836,mriqc,gcor
502,mriqc,0.0193883,mriqc,gcor
503,mriqc,0.0425514,mriqc,gcor
504,mriqc,0.022625,mriqc,gcor
505,mriqc,0.0143003,mriqc,gcor
506,mriqc,0.0180062,mriqc,gcor
507,mriqc,0.0147713,mriqc,gcor
508,mriqc,0.0128722,mriqc,gcor
